NIR;FWI;DataAlerta;NIRAnt;AAAnt;FWIAnt
3;0.00110749;05-01-2001;0;0;0
1;0.00039851;06-01-2001;3;0.0201;0.00110749
2;0.015423297;07-01-2001;1;0.1;0.00039851
11;2.57E-05;09-01-2001;0;0;0
1;0.295249063;15-01-2001;0;0;0
1;0.033988396;18-01-2001;0;0;0
1;0.24423027;21-01-2001;0;0;0
1;0.434648125;28-01-2001;0;0;0
1;0.395639674;03-02-2001;0;0;0
1;4.76E-06;06-02-2001;0;0;0
29;0.000698762;09-02-2001;0;0;0
1;0.205887692;11-02-2001;0;0;0
1;0.466749319;13-02-2001;0;0;0
3;1.668073224;14-02-2001;1;5;0.466749319
6;1.626343909;15-02-2001;3;0.0012;1.668073224
7;3.191971378;16-02-2001;6;6.14;1.626343909
13;2.44391489;17-02-2001;7;0.7371;3.191971378
24;3.591968368;18-02-2001;13;4.5101;2.44391489
32;6.979791584;19-02-2001;24;7.7201;3.591968368
35;6.235544286;20-02-2001;32;62.9702;6.979791584
59;6.368625433;21-02-2001;35;24.0251;6.235544286
36;5.276327553;22-02-2001;59;103.4888;6.368625433
20;3.666196573;23-02-2001;36;182.3101;5.276327553
45;4.666455098;24-02-2001;20;4.5;3.666196573
61;4.086458662;25-02-2001;45;26.2601;4.666455098
52;4.074453366;26-02-2001;61;26.294;4.086458662
1;0.001472266;06-03-2001;0;0;0
1;4.84E-07;08-03-2001;0;0;0
16;6.31E-07;09-03-2001;1;0.5;4.84E-07
2;0.356689427;14-03-2001;0;0;0
4;1.436494603;15-03-2001;2;1.55;0.356689427
1;0.590084953;17-03-2001;0;0;0
1;0.171552699;19-03-2001;0;0;0
1;0.779375638;20-03-2001;1;0;0.171552699
1;3.809344761;23-03-2001;0;0;0
1;0.262041729;26-03-2001;0;0;0
2;0.574189558;31-03-2001;0;0;0
7;1.419142684;01-04-2001;2;0.101;0.574189558
4;3.785750912;03-04-2001;0;0;0
1;1.647028026;04-04-2001;4;0.261;3.785750912
1;0.595210032;05-04-2001;1;0.007;1.647028026
3;0.5084327;06-04-2001;1;0.5;0.595210032
7;5.850740026;07-04-2001;3;0.0501;0.5084327
11;2.188717132;08-04-2001;7;3.134;5.850740026
39;3.428118998;09-04-2001;11;3.4502;2.188717132
26;6.361322303;10-04-2001;39;25.2611;3.428118998
52;8.202413887;11-04-2001;26;14.4242;6.361322303
52;8.52027901;12-04-2001;52;64.5055;8.202413887
79;11.59576476;13-04-2001;52;29.687;8.52027901
98;13.97289146;14-04-2001;79;39.1433;11.59576476
109;8.873167555;15-04-2001;98;63.1664;13.97289146
61;8.282755686;16-04-2001;109;45.1243;8.873167555
39;5.136459237;17-04-2001;61;41.5663;8.282755686
58;3.767293047;18-04-2001;39;12.943;5.136459237
67;10.71971002;19-04-2001;58;108.64;3.767293047
86;9.806325074;20-04-2001;67;70.2641;10.71971002
107;11.68589262;21-04-2001;86;147.4653;9.806325074
19;9.283894007;22-04-2001;107;65.508;11.68589262
4;9.791440261;23-04-2001;19;8.7454;9.283894007
1;0.766156698;24-04-2001;4;0.225;9.791440261
4;3.548804229;25-04-2001;1;0.0001;0.766156698
16;5.653382309;26-04-2001;4;0.085;3.548804229
14;5.599721718;27-04-2001;16;9.1553;5.653382309
30;4.753709187;28-04-2001;14;6.0051;5.599721718
22;15.07377105;29-04-2001;30;11.1981;4.753709187
9;2.740043574;30-04-2001;22;14.0735;15.07377105
21;1.200022092;01-05-2001;9;4.84;2.740043574
2;0.06980435;02-05-2001;21;7.886;1.200022092
1;0.690457696;03-05-2001;2;0.0101;0.06980435
6;3.465225853;04-05-2001;1;1;0.690457696
24;2.461818993;05-05-2001;6;7.17;3.465225853
44;4.313833652;06-05-2001;24;3.275;2.461818993
33;7.81617582;07-05-2001;44;13.3606;4.313833652
8;3.464256032;08-05-2001;33;3.5942;7.81617582
28;0.04767791;09-05-2001;8;0.255;3.464256032
8;0.435885971;10-05-2001;28;16.0143;0.04767791
15;2.969165703;11-05-2001;8;0.6031;0.435885971
5;2.661269867;12-05-2001;15;9.0211;2.969165703
1;1.905102702;13-05-2001;5;0.675;2.661269867
1;0.299828181;14-05-2001;1;0.5;1.905102702
1;0.001382021;15-05-2001;1;0.001;0.299828181
3;0.3318585;17-05-2001;0;0;0
6;1.583932355;18-05-2001;3;0.0206;0.3318585
26;0.756763603;19-05-2001;6;0.4861;1.583932355
19;2.473044954;20-05-2001;26;6.2311;0.756763603
19;4.186062339;21-05-2001;19;6.67;2.473044954
17;4.094740285;22-05-2001;19;17.01;4.186062339
23;4.621898903;23-05-2001;17;6.526;4.094740285
33;5.390768131;24-05-2001;23;9.7151;4.621898903
32;7.561891813;25-05-2001;33;17.63;5.390768131
36;8.478164466;26-05-2001;32;17.405;7.561891813
